Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,1,0
2020/01/29,2,1
2020/01/30,2,0
2020/01/31,2,0
2020/02/01,2,0
2020/02/02,2,0
2020/02/03,2,0
2020/02/04,2,0
2020/02/05,2,0
2020/02/06,2,0
2020/02/07,2,0
2020/02/08,2,0
2020/02/09,2,0
2020/02/10,2,0
2020/02/11,2,0
2020/02/12,2,0
2020/02/13,2,0
2020/02/14,2,0
2020/02/15,2,0
2020/02/16,2,0
2020/02/17,3,1
2020/02/18,3,0
2020/02/19,3,0
2020/02/20,4,1
2020/02/21,4,0
2020/02/22,4,0
2020/02/23,4,0
2020/02/24,4,0
2020/02/25,4,0
2020/02/26,6,2
2020/02/27,6,0
2020/02/28,8,2
2020/02/29,12,4
2020/03/01,12,0
2020/03/02,17,5
2020/03/03,19,2
2020/03/04,24,5
2020/03/05,31,7
2020/03/06,41,10
2020/03/07,49,8
2020/03/08,53,4
2020/03/09,70,17
2020/03/10,85,15
2020/03/11,111,26
2020/03/12,134,23
2020/03/13,182,48
2020/03/14,225,43
2020/03/15,257,32
2020/03/16,294,37
2020/03/17,346,52
2020/03/18,391,45
2020/03/19,438,47
2020/03/20,502,64
2020/03/21,538,36
2020/03/22,579,41
2020/03/23,658,79
2020/03/24,728,70
2020/03/25,806,78
2020/03/26,881,75
2020/03/27,948,67
2020/03/28,988,40
2020/03/29,1012,24
2020/03/30,1090,78
2020/03/31,1141,51
2020/04/01,1191,50
2020/04/02,1244,53
2020/04/03,1287,43
2020/04/04,1320,33
2020/04/05,1363,43
2020/04/06,1416,53
2020/04/07,1457,41
2020/04/08,1529,72
2020/04/09,1597,68
2020/04/10,1680,83
2020/04/11,1721,41
2020/04/12,1745,24
2020/04/13,1786,41
2020/04/14,1830,44
2020/04/15,1860,30
2020/04/16,1887,27
2020/04/17,1929,42
2020/04/18,1944,15
2020/04/19,1958,14
2020/04/20,1983,25
2020/04/21,2009,26
2020/04/22,2057,48
2020/04/23,2077,20
2020/04/24,2108,31
2020/04/25,2122,14
2020/04/26,2133,11
2020/04/27,2157,24
2020/04/28,2179,22
2020/04/29,2208,29
2020/04/30,2218,10
2020/05/01,2239,21
2020/05/02,2251,12
2020/05/03,2259,8
2020/05/04,2278,19
2020/05/05,2291,13
2020/05/06,2319,28
2020/05/07,2331,12
2020/05/08,2355,24
2020/05/09,2366,11
2020/05/10,2369,3
2020/05/11,2389,20
2020/05/12,2404,15
2020/05/13,2425,21
2020/05/14,2449,24
2020/05/15,2464,15
2020/05/16,2479,15
2020/05/17,2486,7
2020/05/18,2525,39
2020/05/19,2569,44
2020/05/20,2605,36
2020/05/21,2626,21
2020/05/22,2653,27
2020/05/23,2670,17
2020/05/24,2672,2
2020/05/25,2680,8
2020/05/26,2712,32
2020/05/27,2750,38
2020/05/28,2773,23
2020/05/29,2817,44
2020/05/30,2833,16
2020/05/31,2843,10
2020/06/01,2877,34
2020/06/02,2903,26
2020/06/03,2946,43
2020/06/04,2983,37
2020/06/05,3019,36
2020/06/06,3032,13
2020/06/07,3050,18
2020/06/08,3088,38
2020/06/09,3135,47
2020/06/10,3198,63
2020/06/11,3248,50
